X,geneID,transcriptID,transcriptName,classification,hybrid,rownum,chr,start,stop,strand,method,type
28,ENSG00000278267,ENST00000619216,MIR6859-1-201,single_exon,none,28,chr1,17369,17436,-,ENSEMBL,exon
39,ENSG00000284332,ENST00000607096,MIR1302-2-201,single_exon,none,39,chr1,30366,30503,+,ENSEMBL,exon
50,ENSG00000268020,ENST00000606857,OR4G4P-201,single_exon,none,50,chr1,52473,53312,+,HAVANA,exon
57,ENSG00000240361,ENST00000492842,OR4G11P-201,single_exon,HFE,57,chr1,62949,63887,+,HAVANA,exon
92,ENSG00000233750,ENST00000442987,CICP27-201,single_exon,none,92,chr1,131025,134836,+,HAVANA,exon
95,ENSG00000268903,ENST00000494149,ENST00000494149,single_exon,none,95,chr1,135141,135895,-,HAVANA,exon
98,ENSG00000269981,ENST00000595919,ENST00000595919,single_exon,none,98,chr1,137682,137965,-,HAVANA,exon
133,ENSG00000222623,ENST00000410691,RNU6-1100P-201,single_exon,none,133,chr1,157784,157887,-,ENSEMBL,exon
159,ENSG00000273874,ENST00000612080,MIR6859-2-201,single_exon,none,159,chr1,187891,187958,-,ENSEMBL,exon
179,ENSG00000228463,ENST00000450734,ENST00000450734,single_exon,HFE,179,chr1,258568,259024,-,HAVANA,exon
191,ENSG00000236679,ENST00000458203,RPL23AP24-201,single_exon,none,191,chr1,347982,348366,-,HAVANA,exon
226,ENSG00000237094,ENST00000445840,ENST00000445840,single_exon,HFE,226,chr1,485026,485208,-,HAVANA,exon
312,ENSG00000269732,ENST00000437905,WBP1LP7-201,single_exon,none,312,chr1,439870,440232,+,HAVANA,exon
315,ENSG00000284733,ENST00000426406,OR4F29-201,single_exon,none,315,chr1,450740,451678,-,HAVANA,exon
326,ENSG00000278757,ENST00000614007,U6.90-201,single_exon,none,326,chr1,516376,516479,-,ENSEMBL,exon
398,ENSG00000230021,ENST00000636676,ENST00000636676,single_exon,HFE,398,chr1,720024,720206,-,HAVANA,exon
411,ENSG00000225972,ENST00000416931,MTND1P23-201,single_exon,none,411,chr1,629062,629433,+,HAVANA,exon
414,ENSG00000225630,ENST00000457540,MTND2P28-201,single_exon,none,414,chr1,629640,630683,+,HAVANA,exon
417,ENSG00000237973,ENST00000414273,MTCO1P12-201,single_exon,none,417,chr1,631074,632616,+,HAVANA,exon
420,ENSG00000278791,ENST00000621981,ENST00000621981,single_exon,none,420,chr1,632325,632413,-,ENSEMBL,exon
423,ENSG00000229344,ENST00000427426,MTCO2P12-201,single_exon,none,423,chr1,632757,633438,+,HAVANA,exon
426,ENSG00000240409,ENST00000467115,MTATP8P1-201,single_exon,none,426,chr1,633535,633741,+,HAVANA,exon
429,ENSG00000248527,ENST00000514057,MTATP6P1-201,single_exon,none,429,chr1,633696,634376,+,HAVANA,exon
432,ENSG00000198744,ENST00000416718,MTCO3P12-201,single_exon,none,432,chr1,634376,634922,+,HAVANA,exon
435,ENSG00000268663,ENST00000438434,WBP1LP6-201,single_exon,none,435,chr1,674842,675265,+,HAVANA,exon
438,ENSG00000284662,ENST00000332831,OR4F16-201,single_exon,none,438,chr1,685716,686654,-,HAVANA,exon
468,ENSG00000228327,ENST00000692781,ENST00000692781,single_exon,none,468,chr1,777752,778688,-,HAVANA,exon
471,ENSG00000223181,ENST00000411249,RNU6-1199P-201,single_exon,none,471,chr1,758233,758336,-,ENSEMBL,exon
562,ENSG00000237491,ENST00000585826,LINC01409-208,single_exon,HFE,562,chr1,784370,784759,+,HAVANA,exon
564,ENSG00000237491,ENST00000592547,LINC01409-218,single_exon,HFE,564,chr1,784370,784977,+,HAVANA,exon
613,ENSG00000237491,ENST00000591702,LINC01409-217,single_exon,HFE,613,chr1,785800,787672,+,HAVANA,exon
622,ENSG00000285268,ENST00000644482,ENST00000644482,single_exon,none,622,chr1,781937,782050,+,HAVANA,exon
640,ENSG00000225880,ENST00000473798,LINC00115-201,single_exon,none,640,chr1,824228,827539,-,HAVANA,exon
932,ENSG00000234711,ENST00000415481,TUBB8P11-201,single_exon,none,932,chr1,873292,874349,+,HAVANA,exon
954,ENSG00000223764,ENST00000609207,LINC02593-203,single_exon,HFE,954,chr1,916865,921016,-,HAVANA,exon
1283,ENSG00000272512,ENST00000606034,ENST00000606034,single_exon,none,1283,chr1,995966,998051,-,HAVANA,exon
1315,ENSG00000231702,ENST00000423619,ENST00000423619,single_exon,none,1315,chr1,1008076,1008229,-,HAVANA,exon
1740,ENSG00000207730,ENST00000384997,MIR200B-201,single_exon,none,1740,chr1,1167104,1167198,+,ENSEMBL,exon
1743,ENSG00000207607,ENST00000384875,MIR200A-201,single_exon,none,1743,chr1,1167863,1167952,+,ENSEMBL,exon
1746,ENSG00000198976,ENST00000362106,MIR429-201,single_exon,none,1746,chr1,1169005,1169087,+,ENSEMBL,exon
1749,ENSG00000272141,ENST00000606993,ENST00000606993,single_exon,none,1749,chr1,1169357,1170343,+,HAVANA,exon
1990,ENSG00000176022,ENST00000379198,B3GALT6-201,single_exon,none,1990,chr1,1232237,1235041,+,HAVANA,exon
2017,ENSG00000260179,ENST00000565563,ENST00000565563,single_exon,none,2017,chr1,1249777,1251334,-,HAVANA,exon
2404,ENSG00000278073,ENST00000613751,MIR6726-201,single_exon,none,2404,chr1,1296110,1296170,-,ENSEMBL,exon
2886,ENSG00000283712,ENST00000620702,MIR6727-201,single_exon,none,2886,chr1,1312502,1312566,-,ENSEMBL,exon
2977,ENSG00000284372,ENST00000616525,MIR6808-201,single_exon,none,2977,chr1,1339650,1339708,-,ENSEMBL,exon
3076,ENSG00000223663,ENST00000435351,NDUFB4P8-201,single_exon,none,3076,chr1,1378666,1379032,+,HAVANA,exon
3239,ENSG00000224870,ENST00000572242,MRPL20-AS1-207,single_exon,HFE,3239,chr1,1399518,1402046,+,HAVANA,exon
3306,ENSG00000264293,ENST00000582431,RN7SL657P-201,single_exon,none,3306,chr1,1405460,1405752,-,ENSEMBL,exon
